station_id,year,month,day,hour,reltime,num_levels,latitude,longitude,datetime,lvltyp1,lvltyp2,etime,pressure,pflag,height,zflag,temperature,tflag,relative_humidity,dewpoint_depression,dewpoint,wind_direction,wind_speed
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,2,1,,1024.0,B,3.0,,23.1,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,1000.0,,209.0,B,21.6,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,850.0,,1591.0,B,11.5,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,700.0,,3181.0,B,2.9,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,500.0,,5844.0,B,-11.5,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,400.0,,7524.0,B,-24.4,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,300.0,,9547.0,B,-41.5,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,250.0,,10759.0,B,-46.2,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,200.0,,12229.0,B,-52.4,B,,,,,
USM00074794,1950,2,4,3,9999,10,284.667,-805.5,1950-02-04 03:00:00,1,0,,150.0,,14062.0,B,-61.5,B,,,,,
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,2,1,,1024.0,B,3.0,,20.6,B,90.0,,,360.0,5.0
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,1,0,,1000.0,,208.0,B,18.8,B,89.0,,,360.0,7.0
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,1,0,,850.0,,1583.0,B,8.1,B,80.0,,,338.0,10.0
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,1,0,,700.0,,3164.0,B,-0.8,B,67.0,,,315.0,11.0
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,1,0,,500.0,,5787.0,B,-15.2,B,44.0,,,293.0,20.0
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,1,0,,400.0,,7434.0,B,-27.3,B,46.0,,,293.0,24.0
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,1,0,,300.0,,9432.0,B,-43.6,B,,,,293.0,39.0
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,1,0,,250.0,,10628.0,B,-53.5,B,,,,248.0,14.0
USM00074794,1950,2,5,5,9999,9,284.667,-805.5,1950-02-05 05:00:00,1,0,,200.0,,12046.0,B,-58.0,B,,,,293.0,95.0
USM00074794,1950,2,6,5,9999,4,284.667,-805.5,1950-02-06 05:00:00,2,1,,1024.0,B,3.0,,19.4,B,83.0,,,68.0,12.0
